anchor_id,positive_id,negative_id
eccDNABase_000682953,CircleBaseV2_000011085,eccDNABase_000886793
eccDNABase_000828906,eccDNABase_000615415,eccDNABase_000001928
CircleBaseV2_002862869,eccDNABase_000581062,CircleBaseV2_003067334
CircleBaseV2_002805194,eccDNABase_000715280,eccDNABase_000545749
eccDNABase_000226345,eccDNABase_000570681,CircleBaseV2_000045732
eccDNABase_000014385,eccDNABase_000873545,eccDNABase_000656604
eccDNABase_000530558,eccDNABase_000007234,CircleBaseV2_002796233
CircleBaseV2_002791138,CircleBaseV2_000006775,CircleBaseV2_003068796
CircleBaseV2_002764784,eccDNABase_000910880,CircleBaseV2_003054364
eccDNABase_000439127,eccDNABase_000015433,eccDNABase_000702544
eccDNABase_000013441,eccDNABase_000016177,eccDNABase_000716252
eccDNABase_000612025,CircleBaseV2_002795985,eccDNABase_000011458
eccDNABase_000833232,eccDNABase_000588841,eccDNABase_000015164
CircleBaseV2_002790124,eccDNABase_000903593,eccDNABase_000572304
CircleBaseV2_002786356,eccDNABase_000619659,eccDNABase_000439468
eccDNABase_000002212,eccDNABase_000007946,CircleBaseV2_000026304
CircleBaseV2_002792608,CircleBaseV2_002767649,CircleBaseV2_003023041
eccDNABase_000616906,eccDNABase_000639644,eccDNABase_000010008
eccDNABase_000000452,eccDNABase_000571543,eccDNABase_000797256
eccDNABase_000690079,eccDNABase_000587033,CircleBaseV2_003019634
eccDNABase_000010008,CircleBaseV2_000054001,CircleBaseV2_002802732
eccDNABase_000725632,CircleBaseV2_002828204,eccDNABase_000892855
eccDNABase_000455479,eccDNABase_000083312,CircleBaseV2_002770261
eccDNABase_000526079,CircleBaseV2_003054393,eccDNABase_000787145
eccDNABase_000645136,CircleBaseV2_002846886,eccDNABase_000015266
eccDNABase_000675244,CircleBaseV2_002799783,eccDNABase_000011235
CircleBaseV2_000031695,CircleBaseV2_003055254,CircleBaseV2_000058490
CircleBaseV2_003067334,eccDNABase_000874443,CircleBaseV2_000018139
eccDNABase_000012867,CircleBaseV2_000020595,CircleBaseV2_002809130
CircleBaseV2_003023038,eccDNABase_000013320,CircleBaseV2_002786478
eccDNABase_000000506,eccDNABase_000014996,CircleBaseV2_002858754
eccDNABase_000524979,CircleBaseV2_000507131,CircleBaseV2_000000961
eccDNABase_000415677,CircleBaseV2_003015159,eccDNABase_000607479
eccDNABase_000446581,eccDNABase_000013755,eccDNABase_000660052
eccDNABase_000531022,eccDNABase_000442182,CircleBaseV2_002829903
eccDNABase_000898228,CircleBaseV2_002815260,eccDNABase_000537375
CircleBaseV2_002829744,CircleBaseV2_002768921,eccDNABase_000014633
CircleBaseV2_002822104,CircleBaseV2_002852789,CircleBaseV2_003023039
eccDNABase_000693012,eccDNABase_000822299,eccDNABase_000530602
eccDNABase_000538414,eccDNABase_000817641,eccDNABase_000627313
eccDNABase_000886790,eccDNABase_000448485,eccDNABase_000681027
eccDNABase_000890082,CircleBaseV2_002863459,eccDNABase_000012969
CircleBaseV2_003054452,eccDNABase_000874444,CircleBaseV2_002869132
CircleBaseV2_003055169,eccDNABase_000004540,CircleBaseV2_000057938
eccDNABase_000893634,CircleBaseV2_000018825,eccDNABase_000624513
eccDNABase_000623490,eccDNABase_000623204,eccDNABase_000539103
CircleBaseV2_002782596,CircleBaseV2_003042744,eccDNABase_000015978
CircleBaseV2_002855287,eccDNABase_000814651,eccDNABase_000008971
CircleBaseV2_002807325,eccDNABase_000815153,eccDNABase_000537362
eccDNABase_000016303,eccDNABase_000000357,CircleBaseV2_000056764
CircleBaseV2_002900347,eccDNABase_000841545,eccDNABase_000083409
CircleBaseV2_002880086,CircleBaseV2_002869643,CircleBaseV2_003055102
CircleBaseV2_002815842,eccDNABase_000801716,eccDNABase_000004497
eccDNABase_000628341,CircleBaseV2_000036413,eccDNABase_000438818
CircleBaseV2_002766112,eccDNABase_000830804,eccDNABase_000886964
CircleBaseV2_002902789,CircleBaseV2_002798923,eccDNABase_000015351
eccDNABase_000016027,eccDNABase_000913170,CircleBaseV2_003041566
eccDNABase_000570925,eccDNABase_000441346,eccDNABase_000839430
eccDNABase_000015237,CircleBaseV2_002041472,eccDNABase_000646169
CircleBaseV2_002789684,CircleBaseV2_002828112,CircleBaseV2_000052008
CircleBaseV2_002822791,CircleBaseV2_002900346,eccDNABase_000002289
eccDNABase_000535978,CircleBaseV2_003054580,eccDNABase_000700171
eccDNABase_000442272,eccDNABase_000912827,CircleBaseV2_002829266
eccDNABase_000572807,eccDNABase_000893876,eccDNABase_000649946
eccDNABase_000657753,eccDNABase_000643175,CircleBaseV2_000053836
CircleBaseV2_002776710,eccDNABase_000675417,eccDNABase_000441951
eccDNABase_000774423,CircleBaseV2_002893665,eccDNABase_000886781
eccDNABase_000833418,eccDNABase_000586129,eccDNABase_000874461
eccDNABase_000840503,CircleBaseV2_003035193,eccDNABase_000015283
eccDNABase_000548218,eccDNABase_000894719,eccDNABase_000593312
eccDNABase_000588602,eccDNABase_000910678,CircleBaseV2_000039023
CircleBaseV2_003023036,eccDNABase_000002656,CircleBaseV2_002817238
eccDNABase_000666870,CircleBaseV2_002806123,eccDNABase_000442264
CircleBaseV2_003032128,eccDNABase_000785839,eccDNABase_000886790
CircleBaseV2_002888921,CircleBaseV2_002811781,eccDNABase_000438686
CircleBaseV2_002866425,eccDNABase_000683420,CircleBaseV2_003055254
eccDNABase_000677219,CircleBaseV2_002821181,eccDNABase_000015351
eccDNABase_000016036,CircleBaseV2_003023039,CircleBaseV2_000030900
CircleBaseV2_002765426,eccDNABase_000586788,eccDNABase_000001336
CircleBaseV2_003055254,eccDNABase_000001761,CircleBaseV2_002763351
eccDNABase_000449842,CircleBaseV2_003067343,eccDNABase_000633494
eccDNABase_000610564,eccDNABase_000671155,eccDNABase_000015247
eccDNABase_000539415,eccDNABase_000451481,eccDNABase_000668396
CircleBaseV2_002838120,CircleBaseV2_000026380,eccDNABase_000010949
eccDNABase_000250021,eccDNABase_000530528,eccDNABase_000643247
CircleBaseV2_003008930,eccDNABase_000530419,CircleBaseV2_002772141
eccDNABase_000874444,eccDNABase_000010980,eccDNABase_000589700
eccDNABase_000913115,CircleBaseV2_002990989,eccDNABase_000613456
eccDNABase_000438744,eccDNABase_000012919,eccDNABase_000654738
eccDNABase_000012919,eccDNABase_000438798,CircleBaseV2_002848873
CircleBaseV2_002837448,eccDNABase_000895254,eccDNABase_000011305
eccDNABase_000015349,eccDNABase_000532888,CircleBaseV2_002825636
eccDNABase_000824052,eccDNABase_000637047,CircleBaseV2_003054446
eccDNABase_000714649,eccDNABase_000586295,eccDNABase_000016297
eccDNABase_000440263,eccDNABase_000014152,eccDNABase_000907327
eccDNABase_000583459,CircleBaseV2_002857320,CircleBaseV2_003054710
eccDNABase_000896412,eccDNABase_000642144,eccDNABase_000009791
eccDNABase_000900894,CircleBaseV2_002775293,eccDNABase_000443499
eccDNABase_000783227,CircleBaseV2_000048222,CircleBaseV2_003023042
eccDNABase_000010980,CircleBaseV2_001552454,CircleBaseV2_002816265
eccDNABase_000621150,CircleBaseV2_002843679,eccDNABase_000120336
eccDNABase_000569338,eccDNABase_000117649,eccDNABase_000598291
eccDNABase_000521324,eccDNABase_000442254,CircleBaseV2_002768865
eccDNABase_000015978,eccDNABase_000008273,eccDNABase_000905494
eccDNABase_000014360,eccDNABase_000892472,eccDNABase_000797788
CircleBaseV2_000058855,CircleBaseV2_002838829,eccDNABase_000002553
eccDNABase_000873541,eccDNABase_000014930,CircleBaseV2_002832587
eccDNABase_000443477,eccDNABase_000014930,CircleBaseV2_002867688
CircleBaseV2_002869830,CircleBaseV2_002889701,CircleBaseV2_002942475
CircleBaseV2_002801205,eccDNABase_000662950,CircleBaseV2_002990671
eccDNABase_000835284,CircleBaseV2_002902661,CircleBaseV2_003054448
CircleBaseV2_003033123,CircleBaseV2_000038540,eccDNABase_000451384
eccDNABase_000893554,eccDNABase_000535978,CircleBaseV2_002795391
eccDNABase_000530890,eccDNABase_000012124,eccDNABase_000612857
eccDNABase_000014318,CircleBaseV2_001322092,CircleBaseV2_000034624
CircleBaseV2_003037944,CircleBaseV2_000030803,eccDNABase_000002797
CircleBaseV2_003008756,eccDNABase_000570491,eccDNABase_000791673
eccDNABase_000009925,eccDNABase_000449991,CircleBaseV2_000061752
eccDNABase_000016012,CircleBaseV2_003068575,eccDNABase_000592935
eccDNABase_000014485,eccDNABase_000771339,CircleBaseV2_002764673
eccDNABase_000694817,eccDNABase_000631885,eccDNABase_000537367
CircleBaseV2_002790284,eccDNABase_000629132,eccDNABase_000002611
CircleBaseV2_003006243,eccDNABase_000014937,CircleBaseV2_002894434
eccDNABase_000530518,eccDNABase_000016327,eccDNABase_000784754
eccDNABase_000446552,eccDNABase_000451413,CircleBaseV2_002875803
CircleBaseV2_000022045,CircleBaseV2_002881209,eccDNABase_000530518
eccDNABase_000522458,eccDNABase_000418353,eccDNABase_000791979
eccDNABase_000013755,CircleBaseV2_003009921,CircleBaseV2_002794255
eccDNABase_000008953,eccDNABase_000014595,eccDNABase_000839814
eccDNABase_000909283,eccDNABase_000647133,eccDNABase_000893683
eccDNABase_000010605,eccDNABase_000439672,eccDNABase_000697199
eccDNABase_000893233,eccDNABase_000494869,CircleBaseV2_002788440
eccDNABase_000009886,eccDNABase_000817640,eccDNABase_000672101
CircleBaseV2_002807898,CircleBaseV2_002759051,eccDNABase_000011473
eccDNABase_000472552,CircleBaseV2_003054446,eccDNABase_000707851
eccDNABase_000205966,eccDNABase_000148683,eccDNABase_000901879
eccDNABase_000438754,eccDNABase_000886791,eccDNABase_000799521
eccDNABase_000001808,eccDNABase_000886781,eccDNABase_000801262
eccDNABase_000718847,eccDNABase_000443893,eccDNABase_000451432
CircleBaseV2_002903148,eccDNABase_000628759,eccDNABase_000886879
CircleBaseV2_003029434,eccDNABase_000670958,eccDNABase_000535976
CircleBaseV2_000026767,CircleBaseV2_000021000,eccDNABase_000441909
eccDNABase_000615498,eccDNABase_000654849,eccDNABase_000450230
eccDNABase_000467554,eccDNABase_000443491,eccDNABase_000716754
CircleBaseV2_002845799,eccDNABase_000802287,CircleBaseV2_002992945
eccDNABase_000535976,CircleBaseV2_000010840,CircleBaseV2_002871267
CircleBaseV2_000053570,eccDNABase_000844955,eccDNABase_000438818
eccDNABase_000603311,eccDNABase_000897687,eccDNABase_000451356
eccDNABase_000014529,eccDNABase_000010008,eccDNABase_000833860
eccDNABase_000784418,eccDNABase_000610916,eccDNABase_000530437
CircleBaseV2_000058620,eccDNABase_000719544,eccDNABase_000014558
CircleBaseV2_003055321,eccDNABase_000016203,CircleBaseV2_002835114
eccDNABase_000011670,eccDNABase_000012384,eccDNABase_000640211
eccDNABase_000439882,CircleBaseV2_003023039,eccDNABase_000713898
eccDNABase_000013726,eccDNABase_000012629,CircleBaseV2_002789773
CircleBaseV2_002813304,eccDNABase_000904645,CircleBaseV2_003068215
CircleBaseV2_002869472,CircleBaseV2_002811375,eccDNABase_000264525
CircleBaseV2_003054849,eccDNABase_000537392,CircleBaseV2_003031798
CircleBaseV2_003054448,eccDNABase_000443493,eccDNABase_000625790
CircleBaseV2_002813869,CircleBaseV2_000008916,eccDNABase_000530719
CircleBaseV2_002768799,CircleBaseV2_002797111,eccDNABase_000570155
CircleBaseV2_001757261,eccDNABase_000320193,eccDNABase_000910748
eccDNABase_000818068,CircleBaseV2_002809254,eccDNABase_000874444
eccDNABase_000001456,CircleBaseV2_001643919,CircleBaseV2_002779333
CircleBaseV2_003067341,eccDNABase_000114946,eccDNABase_000586699
CircleBaseV2_002847874,eccDNABase_000753879,eccDNABase_000014644
eccDNABase_000013659,eccDNABase_000779290,CircleBaseV2_002828612
eccDNABase_000612319,eccDNABase_000698387,eccDNABase_000011618
eccDNABase_000011831,eccDNABase_000892930,CircleBaseV2_002790019
eccDNABase_000011103,eccDNABase_000013344,eccDNABase_000712753
eccDNABase_000451438,eccDNABase_000010641,CircleBaseV2_000015906
eccDNABase_000475719,eccDNABase_000874442,eccDNABase_000602514
CircleBaseV2_002837032,eccDNABase_000590326,CircleBaseV2_000036311
eccDNABase_000015550,CircleBaseV2_003054387,eccDNABase_000626314
eccDNABase_000874177,eccDNABase_000443484,CircleBaseV2_000005322
CircleBaseV2_003054449,eccDNABase_000525014,eccDNABase_000665491
eccDNABase_000438798,eccDNABase_000108202,eccDNABase_000899162
CircleBaseV2_002820042,CircleBaseV2_002783868,eccDNABase_000531345
eccDNABase_000012901,eccDNABase_000573044,CircleBaseV2_003041286
eccDNABase_000707321,CircleBaseV2_002860628,eccDNABase_000893124
eccDNABase_000442230,eccDNABase_000015351,eccDNABase_000640340
CircleBaseV2_003045067,CircleBaseV2_002821876,CircleBaseV2_003067334
eccDNABase_000900478,eccDNABase_000599160,eccDNABase_000886781
eccDNABase_000530524,eccDNABase_000534649,eccDNABase_000900727
eccDNABase_000448232,eccDNABase_000451156,CircleBaseV2_003070637
eccDNABase_000015351,eccDNABase_000446715,CircleBaseV2_003026260
eccDNABase_000013446,eccDNABase_000574242,eccDNABase_000804025
eccDNABase_000442227,eccDNABase_000007631,CircleBaseV2_002843908
eccDNABase_000602253,eccDNABase_000911652,CircleBaseV2_000001107
CircleBaseV2_003038069,eccDNABase_000826755,eccDNABase_000894740
CircleBaseV2_002894791,CircleBaseV2_002803452,CircleBaseV2_000018490
eccDNABase_000647303,eccDNABase_000626188,eccDNABase_000014239
eccDNABase_000633791,eccDNABase_000671809,eccDNABase_000539423
eccDNABase_000537375,eccDNABase_000494867,eccDNABase_000614479
eccDNABase_000012609,eccDNABase_000012969,CircleBaseV2_003070130
eccDNABase_000163793,eccDNABase_000535978,CircleBaseV2_000042872
CircleBaseV2_002868755,eccDNABase_000787871,eccDNABase_000443485
CircleBaseV2_002897291,eccDNABase_000795499,eccDNABase_000530215
eccDNABase_000012394,eccDNABase_000886970,CircleBaseV2_003023077
eccDNABase_000669844,eccDNABase_000799501,eccDNABase_000016206
eccDNABase_000454286,CircleBaseV2_002765305,eccDNABase_000012829
eccDNABase_000590843,eccDNABase_000604826,CircleBaseV2_003054444
eccDNABase_000023741,eccDNABase_000741459,CircleBaseV2_002802315
eccDNABase_000022398,CircleBaseV2_002990661,eccDNABase_000669577
eccDNABase_000512405,eccDNABase_000534924,CircleBaseV2_000024617
eccDNABase_000014345,eccDNABase_000011670,eccDNABase_000791042
eccDNABase_000438678,eccDNABase_000886791,CircleBaseV2_002774250
eccDNABase_000793705,CircleBaseV2_002844285,eccDNABase_000357327
CircleBaseV2_002887226,eccDNABase_000790504,eccDNABase_000198642
CircleBaseV2_002892820,eccDNABase_000689143,eccDNABase_000439208
CircleBaseV2_002880134,CircleBaseV2_002871268,eccDNABase_000015635
eccDNABase_000886792,eccDNABase_000010014,eccDNABase_000786528
CircleBaseV2_000034027,CircleBaseV2_002881118,eccDNABase_000874471
eccDNABase_000822090,CircleBaseV2_002822849,eccDNABase_000446368
CircleBaseV2_002766061,eccDNABase_000676689,eccDNABase_000535978
CircleBaseV2_003055256,eccDNABase_000442050,CircleBaseV2_002782889
eccDNABase_000651632,CircleBaseV2_000061087,CircleBaseV2_000497477
eccDNABase_000531136,eccDNABase_000886790,CircleBaseV2_002898679
eccDNABase_000682797,eccDNABase_000685380,CircleBaseV2_003068045
CircleBaseV2_000048402,CircleBaseV2_002856819,eccDNABase_000009985
CircleBaseV2_002860841,CircleBaseV2_002777787,eccDNABase_000530418
eccDNABase_000016036,eccDNABase_000537363,eccDNABase_000829363
eccDNABase_000438684,eccDNABase_000011670,eccDNABase_000795493
eccDNABase_000622097,CircleBaseV2_003023178,eccDNABase_000888105
CircleBaseV2_003055255,eccDNABase_000530451,CircleBaseV2_002887452
CircleBaseV2_002831435,eccDNABase_000640397,eccDNABase_000446478
eccDNABase_000016001,eccDNABase_000002575,CircleBaseV2_002783689
eccDNABase_000667371,CircleBaseV2_002825683,eccDNABase_000443494
eccDNABase_000827413,eccDNABase_000834601,eccDNABase_000537379
CircleBaseV2_003023035,eccDNABase_000536776,CircleBaseV2_002785320
CircleBaseV2_000020861,eccDNABase_000874836,eccDNABase_000007546
eccDNABase_000717337,CircleBaseV2_000022650,eccDNABase_000573096
CircleBaseV2_002795238,CircleBaseV2_002828040,eccDNABase_000530566
CircleBaseV2_002838806,eccDNABase_000844876,CircleBaseV2_003055255
CircleBaseV2_002842064,CircleBaseV2_000036878,eccDNABase_000525824
eccDNABase_000449374,eccDNABase_000438818,eccDNABase_000594416
CircleBaseV2_002822594,CircleBaseV2_000037183,eccDNABase_000001617
eccDNABase_000285379,eccDNABase_000442169,eccDNABase_000684012
eccDNABase_000790375,CircleBaseV2_002853435,eccDNABase_000894013
CircleBaseV2_003070950,eccDNABase_000626181,eccDNABase_000817644
eccDNABase_000441908,CircleBaseV2_003067567,eccDNABase_000675784
eccDNABase_000581969,eccDNABase_000629169,eccDNABase_000535976
eccDNABase_000641683,CircleBaseV2_002795156,eccDNABase_000892667
eccDNABase_000574617,CircleBaseV2_002990672,CircleBaseV2_002830455
eccDNABase_000455444,eccDNABase_000537311,CircleBaseV2_002767367
eccDNABase_000010014,eccDNABase_000873594,CircleBaseV2_002808464
eccDNABase_000707583,eccDNABase_000831440,eccDNABase_000015879
CircleBaseV2_002774513,eccDNABase_000635173,eccDNABase_000448485
CircleBaseV2_002869160,CircleBaseV2_003040975,CircleBaseV2_003054446
eccDNABase_000728415,eccDNABase_000455480,eccDNABase_000682527
eccDNABase_000531153,eccDNABase_000441909,eccDNABase_000782121
CircleBaseV2_003054367,eccDNABase_000010014,eccDNABase_000895280
CircleBaseV2_002854009,eccDNABase_000603180,eccDNABase_000443477
eccDNABase_000789979,eccDNABase_000704131,CircleBaseV2_003054449
eccDNABase_000675911,eccDNABase_000621173,eccDNABase_000455437
eccDNABase_000592292,CircleBaseV2_002896839,eccDNABase_000887436
eccDNABase_000013392,eccDNABase_000003055,CircleBaseV2_002900794
CircleBaseV2_002943726,CircleBaseV2_003054445,CircleBaseV2_002798144
eccDNABase_000581039,CircleBaseV2_002901982,eccDNABase_000016099
eccDNABase_000886791,eccDNABase_000016209,CircleBaseV2_002810457
eccDNABase_000530416,eccDNABase_000506978,eccDNABase_000662532
CircleBaseV2_002899994,eccDNABase_000817612,CircleBaseV2_000016731
eccDNABase_000610449,eccDNABase_000901280,eccDNABase_000053128
eccDNABase_000013511,eccDNABase_000555908,CircleBaseV2_002877008
eccDNABase_000451434,eccDNABase_000013751,eccDNABase_000669584
eccDNABase_000711267,CircleBaseV2_002894719,eccDNABase_000874443
eccDNABase_000011734,eccDNABase_000013422,CircleBaseV2_000030356
CircleBaseV2_002847523,CircleBaseV2_002789844,eccDNABase_000530295
CircleBaseV2_002843805,CircleBaseV2_002788399,eccDNABase_000013959
CircleBaseV2_000036795,CircleBaseV2_002878245,eccDNABase_000448957
CircleBaseV2_002809319,CircleBaseV2_002890690,eccDNABase_000012444
CircleBaseV2_003067334,eccDNABase_000912526,eccDNABase_000586759
eccDNABase_000669058,CircleBaseV2_002891213,eccDNABase_000530226
eccDNABase_000840781,CircleBaseV2_003027133,eccDNABase_000014102
eccDNABase_000002338,CircleBaseV2_002921897,CircleBaseV2_002804627
eccDNABase_000535976,eccDNABase_000451424,CircleBaseV2_000049238
eccDNABase_000451359,eccDNABase_000011064,eccDNABase_000678727
