id,label,disease
eccDNABase_000723806,1,Multiple diseases
CircleBaseV2_002839706,0,Healthy
eccDNABase_000909855,0,Healthy
eccDNABase_000053471,1,Lymphoma
eccDNABase_000014572,1,Esophageal cancer
CircleBaseV2_002883686,0,Healthy
CircleBaseV2_000032878,0,Healthy
CircleBaseV2_002873824,0,Healthy
CircleBaseV2_003045370,0,Healthy
eccDNABase_000638901,0,Healthy
CircleBaseV2_002873854,0,Healthy
eccDNABase_000539167,1,Coronary artery disease
CircleBaseV2_003054656,1,Glioblastoma cancer
eccDNABase_000893744,1,Colorectal adenoma
eccDNABase_000600795,0,Healthy
eccDNABase_000530147,1,Chordoma
CircleBaseV2_002825945,0,Healthy
eccDNABase_000531408,1,Melanoma
CircleBaseV2_002995445,1,Stomach
CircleBaseV2_000001072,0,Healthy
eccDNABase_000653062,0,Healthy
eccDNABase_000592857,0,Healthy
eccDNABase_000083601,1,Cervical adenocarcinoma
CircleBaseV2_000005412,0,Healthy
eccDNABase_000010506,1,Breast cancer
eccDNABase_000824787,0,Healthy
eccDNABase_000514170,1,Leukemia
CircleBaseV2_002811028,0,Healthy
CircleBaseV2_003039506,0,Healthy
eccDNABase_000535972,1,Neuroblastoma
eccDNABase_000001579,1,Chronic kidney disease
eccDNABase_000590354,0,Healthy
eccDNABase_000114191,1,Cervical adenocarcinoma
eccDNABase_000678769,0,Healthy
eccDNABase_000892360,1,Colorectal adenoma
eccDNABase_000588951,0,Healthy
eccDNABase_000654265,0,Healthy
eccDNABase_000825363,0,Healthy
eccDNABase_000715714,0,Healthy
eccDNABase_000014296,1,Liver cancer
eccDNABase_000551357,1,Stomach cancer
CircleBaseV2_003000783,1,Stomach
eccDNABase_000897014,0,Healthy
CircleBaseV2_002887418,0,Healthy
eccDNABase_000893174,1,Colorectal adenoma
eccDNABase_000521379,1,Leukemia
eccDNABase_000010931,1,Urinary bladder cancer
eccDNABase_000232032,1,Prostate cancer
CircleBaseV2_000052559,1,Cataract
eccDNABase_000002449,1,Clear cell renal cell carcinoma
CircleBaseV2_000024808,1,Cataract
CircleBaseV2_003068823,1,Dilated cardiomyopathy
CircleBaseV2_000019030,0,Healthy
CircleBaseV2_002880932,0,Healthy
eccDNABase_000633766,0,Healthy
eccDNABase_000478516,1,Hiv infectious disease
eccDNABase_000505786,1,Leukemia
eccDNABase_000685993,0,Healthy
CircleBaseV2_003054528,1,Glioblastoma cancer
CircleBaseV2_000002106,1,Cataract
CircleBaseV2_000061943,0,Healthy
eccDNABase_000549163,1,Stomach cancer
eccDNABase_000001831,1,Chronic kidney disease
eccDNABase_000446568,1,Colon cancer
eccDNABase_000808587,0,Healthy
CircleBaseV2_002882555,0,Healthy
eccDNABase_000668984,0,Healthy
eccDNABase_000611530,0,Healthy
eccDNABase_000028588,1,Lymphoma
eccDNABase_000574613,1,Glioblastoma
eccDNABase_000040597,1,Cervical adenocarcinoma
eccDNABase_000009354,1,Hypopharynx cancer
eccDNABase_000603947,0,Healthy
eccDNABase_000005489,1,Primary pulmonary hypertension
eccDNABase_000002616,1,Clear cell renal cell carcinoma
eccDNABase_000894851,1,Neuroblastoma
CircleBaseV2_003036601,0,Healthy
CircleBaseV2_000039392,0,Healthy
eccDNABase_000446569,1,Colon cancer
CircleBaseV2_000007208,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000548430,1,Stomach cancer
eccDNABase_000374240,1,Ovarian cancer
eccDNABase_000894723,1,Neuroblastoma
CircleBaseV2_002801261,0,Healthy
eccDNABase_000912257,1,Fetal growth restriction
CircleBaseV2_002781941,0,Healthy
CircleBaseV2_000011400,0,Healthy
eccDNABase_000534353,1,Melanoma
eccDNABase_000551408,1,Stomach cancer
CircleBaseV2_003039922,0,Healthy
CircleBaseV2_002993578,1,Primary pulmonary hypertension
eccDNABase_000825629,0,Healthy
CircleBaseV2_003004285,1,Stomach
eccDNABase_000635639,0,Healthy
eccDNABase_000346777,1,Prostate cancer
eccDNABase_000599100,0,Healthy
eccDNABase_000570295,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000530797,1,Neuroblastoma
eccDNABase_000912617,1,Fetal growth restriction
eccDNABase_000836887,0,Healthy
CircleBaseV2_002832196,0,Healthy
eccDNABase_000530912,1,Neuroblastoma
CircleBaseV2_002994834,1,Primary pulmonary hypertension
CircleBaseV2_002983870,1,Colorectal cancer
eccDNABase_000210714,1,Ovarian cancer
eccDNABase_000003213,1,Primary pulmonary hypertension
eccDNABase_000607131,0,Healthy
eccDNABase_000874358,1,Glioblastoma
eccDNABase_000456374,1,Hiv infectious disease
eccDNABase_000633947,0,Healthy
CircleBaseV2_003041263,0,Healthy
CircleBaseV2_002882739,0,Healthy
eccDNABase_000014212,1,Liver cancer
eccDNABase_000912449,1,Fetal growth restriction
CircleBaseV2_002786834,0,Healthy
eccDNABase_000034875,1,Cervical adenocarcinoma
CircleBaseV2_002848120,0,Healthy
CircleBaseV2_003061693,1,Prostate cancer
CircleBaseV2_003067658,1,Dilated cardiomyopathy
eccDNABase_000874547,1,Breast cancer
eccDNABase_000613937,0,Healthy
eccDNABase_000448318,1,Colon cancer
eccDNABase_000446325,1,Lung cancer
CircleBaseV2_003068273,1,Dilated cardiomyopathy
eccDNABase_000003534,1,Primary pulmonary hypertension
eccDNABase_000893568,1,Colorectal adenoma
eccDNABase_000439689,1,Smarca4-deficient sarcoma of thorax
eccDNABase_000806515,0,Healthy
CircleBaseV2_002769917,0,Healthy
eccDNABase_000893782,1,Colorectal adenoma
eccDNABase_000844768,0,Healthy
eccDNABase_000467174,1,Hiv infectious disease
eccDNABase_000501720,1,Leukemia
CircleBaseV2_002836810,0,Healthy
eccDNABase_000382345,1,Ovarian cancer
CircleBaseV2_002853836,0,Healthy
eccDNABase_000660798,0,Healthy
eccDNABase_000453223,0,Healthy
eccDNABase_000117788,1,Cervical adenocarcinoma
eccDNABase_000013429,1,Esophageal cancer
eccDNABase_000002504,1,Clear cell renal cell carcinoma
eccDNABase_000106820,1,Lymphoma
CircleBaseV2_000031653,1,Hypopharyngeal squamous cell carcinoma
CircleBaseV2_000018532,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000516270,1,Leukemia
eccDNABase_000904476,0,Healthy
CircleBaseV2_003045056,0,Healthy
CircleBaseV2_003039410,0,Healthy
eccDNABase_000693182,0,Healthy
eccDNABase_000913078,1,Fetal growth restriction
CircleBaseV2_000016265,1,Hypopharyngeal squamous cell carcinoma
CircleBaseV2_002831815,0,Healthy
eccDNABase_000011023,1,Esophageal cancer
eccDNABase_000002323,1,Clear cell renal cell carcinoma
CircleBaseV2_003001792,1,Stomach
eccDNABase_000442235,1,Caid syndrome
eccDNABase_000000180,1,Chronic kidney disease
eccDNABase_000663820,0,Healthy
eccDNABase_000023154,1,Lymphoma
eccDNABase_000675562,0,Healthy
eccDNABase_000822707,0,Healthy
eccDNABase_000533286,1,Melanoma
eccDNABase_000574124,1,Glioblastoma
eccDNABase_000200152,1,Ovarian cancer
eccDNABase_000573235,1,Glioblastoma
eccDNABase_000002250,1,Clear cell renal cell carcinoma
CircleBaseV2_003011033,1,Stomach
eccDNABase_000685799,0,Healthy
eccDNABase_000491448,1,Hiv infectious disease
eccDNABase_000835505,0,Healthy
eccDNABase_000803461,0,Healthy
eccDNABase_000699064,0,Healthy
CircleBaseV2_002846942,0,Healthy
CircleBaseV2_002870235,0,Healthy
eccDNABase_000678215,0,Healthy
CircleBaseV2_002822120,0,Healthy
eccDNABase_000893888,1,Colorectal adenoma
CircleBaseV2_000031727,0,Healthy
CircleBaseV2_002846426,0,Healthy
eccDNABase_000710134,0,Healthy
CircleBaseV2_002801618,0,Healthy
eccDNABase_000832567,0,Healthy
eccDNABase_000582876,0,Healthy
eccDNABase_000014856,1,Sarcoma
CircleBaseV2_003054634,1,Glioblastoma cancer
eccDNABase_000439421,1,Smarca4-deficient sarcoma of thorax
eccDNABase_000671396,0,Healthy
CircleBaseV2_002991520,1,Primary pulmonary hypertension
CircleBaseV2_003054776,1,Glioblastoma cancer
eccDNABase_000912661,1,Fetal growth restriction
eccDNABase_000011398,1,Skin cancer
eccDNABase_000688437,0,Healthy
eccDNABase_000797518,0,Healthy
eccDNABase_000781626,0,Healthy
CircleBaseV2_003068959,1,Dilated cardiomyopathy
CircleBaseV2_000030695,0,Healthy
CircleBaseV2_002434543,1,Gastric cancer
eccDNABase_000050867,1,Cervical adenocarcinoma
CircleBaseV2_003067913,1,Dilated cardiomyopathy
eccDNABase_000570584,1,Branchio-oculo-facial syndrome (bofs)
eccDNABase_000913366,1,Fetal growth restriction
CircleBaseV2_002807631,0,Healthy
eccDNABase_000630140,0,Healthy
CircleBaseV2_002870537,0,Healthy
eccDNABase_000296155,1,Ovarian cancer
eccDNABase_000706964,0,Healthy
CircleBaseV2_002795970,0,Healthy
eccDNABase_000805569,0,Healthy
CircleBaseV2_003041126,0,Healthy
eccDNABase_000550778,1,Stomach cancer
CircleBaseV2_002990665,1,Type 2 diabetes mellitus
eccDNABase_000439288,1,Sarcoma
CircleBaseV2_002902191,0,Healthy
CircleBaseV2_002842054,0,Healthy
eccDNABase_000007747,1,Hypopharynx cancer
CircleBaseV2_002803744,0,Healthy
eccDNABase_000002587,1,Clear cell renal cell carcinoma
CircleBaseV2_002778242,0,Healthy
CircleBaseV2_002815417,0,Healthy
eccDNABase_000793726,0,Healthy
CircleBaseV2_002759412,0,Healthy
eccDNABase_000099453,1,Lymphoma
CircleBaseV2_002859026,0,Healthy
eccDNABase_000609406,0,Healthy
eccDNABase_000543382,1,Stomach cancer
CircleBaseV2_000209620,1,Gastric cancer
eccDNABase_000671314,0,Healthy
CircleBaseV2_002763599,0,Healthy
eccDNABase_000893196,1,Colorectal adenoma
eccDNABase_000689816,0,Healthy
CircleBaseV2_000034165,1,Cataract
eccDNABase_000790202,0,Healthy
CircleBaseV2_002861074,0,Healthy
eccDNABase_000603218,0,Healthy
eccDNABase_000808914,0,Healthy
eccDNABase_000887092,1,Dilated cardiomyopathy
eccDNABase_000538173,1,Coronary artery disease
CircleBaseV2_000008611,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000002884,1,Clear cell renal cell carcinoma
eccDNABase_000530659,0,Healthy
eccDNABase_000451387,1,Liver cancer
CircleBaseV2_002778984,0,Healthy
eccDNABase_000603423,0,Healthy
eccDNABase_000525167,1,Breast cancer
eccDNABase_000016183,1,Lung adenocarcinoma
eccDNABase_000439009,1,Sarcoma
eccDNABase_000714784,0,Healthy
CircleBaseV2_002765168,0,Healthy
CircleBaseV2_002790573,0,Healthy
eccDNABase_000801291,0,Healthy
eccDNABase_000679911,0,Healthy
eccDNABase_000483041,1,Hiv infectious disease
eccDNABase_000494514,1,Hiv infectious disease
eccDNABase_000001788,1,Chronic kidney disease
eccDNABase_000913316,1,Fetal growth restriction
CircleBaseV2_003030614,0,Healthy
CircleBaseV2_000004065,1,Cataract
CircleBaseV2_000028216,1,Cataract
CircleBaseV2_003042486,0,Healthy
eccDNABase_000594384,0,Healthy
CircleBaseV2_000008200,0,Healthy
eccDNABase_000613586,0,Healthy
eccDNABase_000439817,1,Smarca4-deficient sarcoma of thorax
eccDNABase_000529192,1,Leukemia
CircleBaseV2_000011063,0,Healthy
eccDNABase_000561438,1,Stomach cancer
eccDNABase_000014222,1,Esophageal cancer
CircleBaseV2_002817196,0,Healthy
CircleBaseV2_003067462,1,Dilated cardiomyopathy
CircleBaseV2_003048641,0,Healthy
eccDNABase_000582911,0,Healthy
eccDNABase_000892460,1,Colorectal adenoma
CircleBaseV2_000009534,0,Healthy
eccDNABase_000460954,1,Hiv infectious disease
CircleBaseV2_002825242,0,Healthy
eccDNABase_000803834,0,Healthy
eccDNABase_000516025,1,Leukemia
eccDNABase_000439189,1,Sarcoma
CircleBaseV2_002833388,0,Healthy
eccDNABase_000622046,0,Healthy
CircleBaseV2_002786538,0,Healthy
CircleBaseV2_002843026,0,Healthy
CircleBaseV2_002854366,0,Healthy
eccDNABase_000011369,1,Esophageal cancer
eccDNABase_000016168,1,Lung squamous cell cancer
eccDNABase_000690699,0,Healthy
CircleBaseV2_003048920,0,Healthy
CircleBaseV2_002884836,0,Healthy
eccDNABase_000839494,0,Healthy
CircleBaseV2_002879200,0,Healthy
eccDNABase_000232729,1,Ovarian cancer
CircleBaseV2_002857931,0,Healthy
eccDNABase_000537326,1,Chordoma
CircleBaseV2_002895965,0,Healthy
eccDNABase_000001119,1,Chronic kidney disease
eccDNABase_000908053,0,Healthy
eccDNABase_000438943,1,Sarcoma
CircleBaseV2_002820152,0,Healthy
CircleBaseV2_003055283,1,Breast cancer
CircleBaseV2_000003838,0,Healthy
CircleBaseV2_002848564,0,Healthy
eccDNABase_000746826,1,Multiple diseases
eccDNABase_000640190,0,Healthy
CircleBaseV2_000009933,0,Healthy
eccDNABase_000704328,0,Healthy
eccDNABase_000246976,1,Ovarian cancer
CircleBaseV2_002843841,0,Healthy
eccDNABase_000893305,1,Colorectal adenoma
eccDNABase_000500693,1,Hiv infectious disease
eccDNABase_000663970,0,Healthy
eccDNABase_000592828,0,Healthy
eccDNABase_000783879,0,Healthy
CircleBaseV2_002994820,1,Primary pulmonary hypertension
CircleBaseV2_002902304,0,Healthy
eccDNABase_000530787,1,Neuroblastoma
eccDNABase_000002232,1,Clear cell renal cell carcinoma
eccDNABase_000007240,1,Hypopharynx cancer
CircleBaseV2_003037253,0,Healthy
eccDNABase_000009951,1,Multiple myeloma
CircleBaseV2_002869169,0,Healthy
CircleBaseV2_002834822,0,Healthy
eccDNABase_000646836,0,Healthy
eccDNABase_000894539,1,Neuroblastoma
eccDNABase_000538665,1,Coronary artery disease
eccDNABase_000439879,1,Smarca4-deficient sarcoma of thorax
eccDNABase_000789522,0,Healthy
CircleBaseV2_002885186,0,Healthy
eccDNABase_000439039,1,Sarcoma
CircleBaseV2_002782298,0,Healthy
eccDNABase_000571762,1,Glioblastoma
CircleBaseV2_002876713,0,Healthy
eccDNABase_000573843,1,Glioblastoma
eccDNABase_000533341,1,Melanoma
eccDNABase_000716609,0,Healthy
CircleBaseV2_003033311,0,Healthy
eccDNABase_000830130,0,Healthy
eccDNABase_000473467,1,Hiv infectious disease
CircleBaseV2_002759050,0,Healthy
eccDNABase_000572045,1,Glioblastoma
CircleBaseV2_002882845,0,Healthy
eccDNABase_000562482,1,Stomach cancer
eccDNABase_000557613,1,Stomach cancer
eccDNABase_000007741,1,Hypopharynx cancer
eccDNABase_000572762,1,Glioblastoma
eccDNABase_000530984,1,Neuroblastoma
CircleBaseV2_003055099,1,Glioblastoma cancer
CircleBaseV2_003054516,1,Glioblastoma cancer
eccDNABase_000590073,0,Healthy
CircleBaseV2_002819129,0,Healthy
CircleBaseV2_002943282,1,Colorectal cancer
CircleBaseV2_000027281,0,Healthy
CircleBaseV2_001160784,1,Gastric cancer
eccDNABase_000571202,1,Branchio-oculo-facial syndrome (bofs)
CircleBaseV2_000031539,0,Healthy
eccDNABase_000532559,1,Melanoma
CircleBaseV2_002857861,0,Healthy
eccDNABase_000592021,0,Healthy
CircleBaseV2_003065928,1,Prostate cancer
CircleBaseV2_003054590,1,Glioblastoma cancer
CircleBaseV2_002806717,0,Healthy
CircleBaseV2_002808939,0,Healthy
CircleBaseV2_002875056,0,Healthy
CircleBaseV2_002771061,0,Healthy
eccDNABase_000012767,1,Breast cancer
CircleBaseV2_003054395,1,Systemic lupus erythematosus
eccDNABase_000676708,0,Healthy
eccDNABase_000536517,1,Leukemia
eccDNABase_000494990,1,Hiv infectious disease
eccDNABase_000612003,0,Healthy
CircleBaseV2_000013974,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000544738,1,Stomach cancer
eccDNABase_000484170,1,Hiv infectious disease
eccDNABase_000587931,0,Healthy
CircleBaseV2_002688547,1,Gastric cancer
CircleBaseV2_002796421,0,Healthy
CircleBaseV2_000870607,1,Gastric cancer
CircleBaseV2_000051330,0,Healthy
CircleBaseV2_002855458,0,Healthy
eccDNABase_000841495,0,Healthy
eccDNABase_000013756,1,Urinary bladder cancer
CircleBaseV2_003069623,0,Healthy
CircleBaseV2_002869815,0,Healthy
eccDNABase_000001170,1,Chronic kidney disease
eccDNABase_000009166,1,Hypopharynx cancer
eccDNABase_000014154,1,Esophageal cancer
eccDNABase_000618296,0,Healthy
CircleBaseV2_002863512,0,Healthy
eccDNABase_000873560,1,Systemic lupus erythematosus
CircleBaseV2_002849013,0,Healthy
eccDNABase_000615055,0,Healthy
eccDNABase_000835808,0,Healthy
eccDNABase_000821790,0,Healthy
CircleBaseV2_000026695,1,Cataract
eccDNABase_000786745,0,Healthy
eccDNABase_000089674,1,Cervical adenocarcinoma
eccDNABase_000586901,0,Healthy
eccDNABase_000651994,0,Healthy
CircleBaseV2_002807461,0,Healthy
CircleBaseV2_002994815,1,Primary pulmonary hypertension
CircleBaseV2_000014835,1,Hypopharyngeal squamous cell carcinoma
CircleBaseV2_002844942,0,Healthy
eccDNABase_000651671,0,Healthy
eccDNABase_000449479,1,Colon cancer
CircleBaseV2_002857138,0,Healthy
eccDNABase_000059218,1,Cervical adenocarcinoma
eccDNABase_000913229,1,Fetal growth restriction
CircleBaseV2_000049887,0,Healthy
CircleBaseV2_002821721,0,Healthy
eccDNABase_000442236,1,Caid syndrome
CircleBaseV2_000008922,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000842766,0,Healthy
eccDNABase_000654800,0,Healthy
eccDNABase_000574499,1,Glioblastoma
eccDNABase_000530393,1,Chordoma
eccDNABase_000460893,1,Hiv infectious disease
eccDNABase_000441920,1,Caid syndrome
eccDNABase_000438738,1,Hematopoietic cancer
CircleBaseV2_002808345,0,Healthy
eccDNABase_000533875,1,Melanoma
CircleBaseV2_002863670,0,Healthy
eccDNABase_000755826,1,Multiple diseases
eccDNABase_000538775,1,Coronary artery disease
CircleBaseV2_001930614,1,Gastric cancer
eccDNABase_000013133,1,Esophageal cancer
CircleBaseV2_002839378,0,Healthy
CircleBaseV2_000002486,0,Healthy
eccDNABase_000590157,0,Healthy
CircleBaseV2_003001971,1,Stomach
eccDNABase_000586562,0,Healthy
eccDNABase_000893694,1,Colorectal adenoma
CircleBaseV2_002767279,0,Healthy
eccDNABase_000889245,0,Healthy
CircleBaseV2_003032674,0,Healthy
CircleBaseV2_002819979,0,Healthy
eccDNABase_000002738,1,Clear cell renal cell carcinoma
CircleBaseV2_002819842,0,Healthy
CircleBaseV2_002896218,0,Healthy
CircleBaseV2_003033034,0,Healthy
CircleBaseV2_003003989,1,Stomach
CircleBaseV2_003068517,1,Dilated cardiomyopathy
eccDNABase_000611302,0,Healthy
eccDNABase_000439135,1,Sarcoma
eccDNABase_000565578,1,Stomach cancer
eccDNABase_000646564,0,Healthy
eccDNABase_000664651,0,Healthy
eccDNABase_000811882,0,Healthy
eccDNABase_000455459,1,Fibrosarcoma
CircleBaseV2_000001977,0,Healthy
eccDNABase_000840376,0,Healthy
eccDNABase_000006705,1,Primary pulmonary hypertension
eccDNABase_000001268,1,Chronic kidney disease
CircleBaseV2_000058945,0,Healthy
eccDNABase_000605436,0,Healthy
eccDNABase_000553643,1,Stomach cancer
eccDNABase_000218429,1,Prostate cancer
CircleBaseV2_002856598,0,Healthy
eccDNABase_000633519,0,Healthy
CircleBaseV2_000038350,0,Healthy
eccDNABase_000581823,0,Healthy
eccDNABase_000912127,1,Fetal growth restriction
CircleBaseV2_000009954,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000815743,0,Healthy
CircleBaseV2_000023468,0,Healthy
CircleBaseV2_002875321,0,Healthy
eccDNABase_000522997,1,Melanoma
CircleBaseV2_002852274,0,Healthy
eccDNABase_000001163,1,Chronic kidney disease
eccDNABase_000720690,1,Multiple diseases
eccDNABase_000007252,1,Hypopharynx cancer
CircleBaseV2_002831538,0,Healthy
CircleBaseV2_003027952,0,Healthy
eccDNABase_000531019,1,Neuroblastoma
eccDNABase_000763193,0,Healthy
CircleBaseV2_002766070,0,Healthy
eccDNABase_000454359,0,Healthy
eccDNABase_000765281,0,Healthy
eccDNABase_000633788,0,Healthy
eccDNABase_000710781,0,Healthy
CircleBaseV2_003066800,0,Healthy
eccDNABase_000530730,1,Neuroblastoma
CircleBaseV2_002896906,0,Healthy
CircleBaseV2_002841750,0,Healthy
CircleBaseV2_002860027,0,Healthy
CircleBaseV2_000060228,1,Hypopharyngeal squamous cell carcinoma
CircleBaseV2_000048727,1,Hypopharyngeal squamous cell carcinoma
eccDNABase_000490390,1,Hiv infectious disease
eccDNABase_000163355,1,Ovarian cancer
CircleBaseV2_002771684,0,Healthy
CircleBaseV2_002759595,0,Healthy
eccDNABase_000014317,1,Sarcoma
CircleBaseV2_000195514,1,Gastric cancer
CircleBaseV2_003068621,1,Dilated cardiomyopathy
CircleBaseV2_002826978,0,Healthy
eccDNABase_000015601,1,Kidney cancer
eccDNABase_000572331,1,Glioblastoma
eccDNABase_000439803,1,Smarca4-deficient sarcoma of thorax
CircleBaseV2_000040157,0,Healthy
eccDNABase_000614515,0,Healthy
CircleBaseV2_000007170,1,Cataract
CircleBaseV2_000320900,1,Gastric cancer
eccDNABase_000583307,0,Healthy
eccDNABase_000628466,0,Healthy
eccDNABase_000815984,0,Healthy
CircleBaseV2_003068717,1,Dilated cardiomyopathy
eccDNABase_000574771,1,Glioblastoma
eccDNABase_000659285,0,Healthy
eccDNABase_000439678,1,Smarca4-deficient sarcoma of thorax
CircleBaseV2_000032992,0,Healthy
eccDNABase_000439667,1,Smarca4-deficient sarcoma of thorax
eccDNABase_000009988,1,Skin cancer
CircleBaseV2_001190998,1,Gastric cancer
CircleBaseV2_002866535,0,Healthy
CircleBaseV2_002857136,0,Healthy
CircleBaseV2_003032500,0,Healthy
CircleBaseV2_002857610,0,Healthy
eccDNABase_000681860,0,Healthy
eccDNABase_000893622,1,Colorectal adenoma
eccDNABase_000439662,1,Smarca4-deficient sarcoma of thorax
